MovieID,Title,Genres,ImdbID,Links,title,year,description,duration,director,writer,stars,ratings
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,https://www.imdb.com/title/tt0114709/,Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,1h 21m,['John Lasseter'],"['John Lasseter', 'Pete Docter', 'Andrew Stanton']","['Tom Hanks', 'Tim Allen', 'Don Rickles']",8.3
2,Jumanji (1995),Adventure|Children|Fantasy,113497,https://www.imdb.com/title/tt0113497/,Jumanji,1995,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",1h 44m,['Joe Johnston'],"['Jonathan Hensleigh', 'Greg Taylor', 'Jim Strain']","['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt']",7.0
3,Grumpier Old Men (1995),Comedy|Romance,113228,https://www.imdb.com/title/tt0113228/,Grumpier Old Men,1995,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",1h 41m,['Howard Deutch'],['Mark Steven Johnson'],"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']",6.6
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,https://www.imdb.com/title/tt0114885/,Waiting to Exhale,1995,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",2h 4m,['Forest Whitaker'],"['Terry McMillan', 'Ronald Bass']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine']",5.9
5,Father of the Bride Part II (1995),Comedy,113041,https://www.imdb.com/title/tt0113041/,Father of the Bride Part II,1995,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",1h 46m,['Charles Shyer'],"['Albert Hackett', 'Frances Goodrich', 'Nancy Meyers']","['Steve Martin', 'Diane Keaton', 'Martin Short']",6.0
6,Heat (1995),Action|Crime|Thriller,113277,https://www.imdb.com/title/tt0113277/,Heat,1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,2h 50m,['Michael Mann'],['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",8.3
7,Sabrina (1995),Comedy|Romance,114319,https://www.imdb.com/title/tt0114319/,Sabrina,1995,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",2h 7m,['Sydney Pollack'],"['Samuel A. Taylor', 'Billy Wilder', 'Ernest Lehman']","['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']",6.3
8,Tom and Huck (1995),Adventure|Children,112302,https://www.imdb.com/title/tt0112302/,Tom and Huck,1995,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,1h 37m,['Peter Hewitt'],"['Mark Twain', 'Stephen Sommers', 'David Loughery']","['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket']",5.5
9,Sudden Death (1995),Action,114576,https://www.imdb.com/title/tt0114576/,Sudden Death,1995,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,1h 51m,['Peter Hyams'],"['Karen Elise Baldwin', 'Gene Quintano']","['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']",5.8
10,GoldenEye (1995),Action|Adventure|Thriller,113189,https://www.imdb.com/title/tt0113189/,GoldenEye,1995,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",2h 10m,['Martin Campbell'],"['Ian Fleming', 'Michael France', 'Jeffrey Caine']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']",7.2
